feature,coef
grade_C,0.46622410565953465
grade_D,0.44312640417909044
grade_E,0.3355621072152929
grade_B,0.3052483518907294
int_rate,0.21793374679177765
grade_F,0.2107063370718574
term_months,0.15908905264461343
grade_G,0.12152258638696505
loan_amnt,0.10634805947738499
annual_inc_clean,-0.18541266881577
