column,missing_rate
member_id,1.0
orig_projected_additional_accrued_interest,0.9961733108447336
hardship_end_date,0.9951709668815115
hardship_start_date,0.9951709668815115
hardship_type,0.9951709668815115
hardship_reason,0.9951709668815115
hardship_status,0.9951709668815115
deferral_term,0.9951709668815115
hardship_last_payment_amount,0.9951709668815115
hardship_payoff_balance_amount,0.9951709668815115
hardship_loan_status,0.9951709668815115
hardship_dpd,0.9951709668815115
hardship_length,0.9951709668815115
payment_plan_start_date,0.9951709668815115
hardship_amount,0.9951709668815115
settlement_term,0.9848516013395845
debt_settlement_flag_date,0.9848516013395845
settlement_status,0.9848516013395845
settlement_date,0.9848516013395845
settlement_amount,0.9848516013395845
settlement_percentage,0.9848516013395845
sec_app_mths_since_last_major_derog,0.9841013915595207
sec_app_revol_util,0.9530304980623266
revol_bal_joint,0.9522183605881539
sec_app_mort_acc,0.9522179182474817
sec_app_fico_range_low,0.9522179182474817
sec_app_fico_range_high,0.9522179182474817
sec_app_earliest_cr_line,0.9522179182474817
sec_app_inq_last_6mths,0.9522179182474817
sec_app_open_acc,0.9522179182474817
sec_app_open_act_il,0.9522179182474817
sec_app_num_rev_accts,0.9522179182474817
sec_app_chargeoff_within_12_mths,0.9522179182474817
sec_app_collections_12_mths_ex_med,0.9522179182474817
verification_status_joint,0.9488079140054346
dti_joint,0.9466068268205304
annual_inc_joint,0.9466050574578416
desc,0.9442363231581709
mths_since_last_record,0.8411306935326698
mths_since_recent_bc_dlq,0.7701151103131285
mths_since_last_major_derog,0.7430995960987322
mths_since_recent_revol_delinq,0.6725091022651823
next_pymnt_d,0.595099926969555
mths_since_last_delinq,0.5124671506758302
il_util,0.47281042473109003
mths_since_rcnt_il,0.40251099105985266
all_util,0.3832355539277419
open_acc_6m,0.3831391236612007
total_cu_tl,0.3831391236612007
inq_last_12m,0.3831391236612007
open_rv_24m,0.3831386813205285
open_rv_12m,0.3831386813205285
total_bal_il,0.3831386813205285
open_il_24m,0.3831386813205285
open_il_12m,0.3831386813205285
open_act_il,0.3831386813205285
max_bal_bc,0.3831386813205285
inq_fi,0.3831386813205285
mths_since_recent_inq,0.13069751373578373
emp_title,0.07387177693998455
num_tl_120dpd_2m,0.06798333791155929
emp_length,0.06499753837415917
mo_sin_old_il_acct,0.06153135686674178
bc_util,0.033663894517673945
percent_bc_gt_75,0.0333577947725064
bc_open_to_buy,0.03316139551404631
mths_since_recent_bc,0.032487710670274395
pct_tl_nvr_dlq,0.03116909312642406
avg_cur_bal,0.031131494169286428
mo_sin_old_rev_tl_op,0.031100972662904118
mo_sin_rcnt_rev_tl_op,0.031100972662904118
num_rev_accts,0.031100972662904118
